titulo,subtitulo,autor,data,secao,texto,url
Os 4.900 robôs bolsonaristas,Nao possui,Nao possui,05/04/2019 15:33:41,Brasil,"<p>O Botometer, um detector de bots desenvolvido pela Universidade do Indiana, identificou 4.900 robôs entre os 30 mil bolsonaristas mais assíduos nas redes sociais...<br><br></p>",https://www.oantagonista.com/brasil/os-4-900-robos-bolsonaristas/
Sem carregadores de mala em Boston,Nao possui,Nao possui,05/04/2019 15:34:09,Brasil,"<p>Hoje começou a Brazil Conference, evento organizado por estudantes brasileiros em Harvard, em Boston, nos Estados Unidos...</p>",https://www.oantagonista.com/brasil/sem-carregadores-de-mala-em-boston/
Os 4.900 robôs bolsonaristas,Nao possui,Nao possui,05/04/2019 15:33:41,Brasil,"<p>O Botometer, um detector de bots desenvolvido pela Universidade do Indiana, identificou 4.900 robôs entre os 30 mil bolsonaristas mais assíduos nas redes sociais...<br><br></p>",https://www.oantagonista.com/brasil/os-4-900-robos-bolsonaristas/
O bonde do Paulo Guedes,Nao possui,Nao possui,05/04/2019 15:33:03,Brasil,"<p>João Doria publicou em seu perfil oficial do Twitter uma selfie com Rodrigo Maia, Paulo Guedes e Davi Alcolumbre, presentes ao evento do Lide em Campos do Jordão...<br><br><img class=""alignnone size-full wp-image-182224"" src=""https://cdn.oantagonista.net/uploads/2019/04/Bonde-do-Guedes.jpg"" alt="""" width=""1024"" height=""736""></p>",https://www.oantagonista.com/brasil/o-bonde-do-paulo-guedes/
“Com o coração aberto”,Nao possui,Nao possui,05/04/2019 15:18:55,Brasil,"<p>Réu confesso, Sérgio Cabral pediu para ser reinterrogado hoje e, no início do depoimento, disse que resolveu falar ""com o coração aberto""...</p>",https://www.oantagonista.com/brasil/com-o-coracao-aberto/
Cabral diz que propina dos ônibus começou com Moreira Franco,Nao possui,Nao possui,05/04/2019 15:08:05,Brasil,"<p><br>No depoimento espontâneo que presta hoje, Sérgio Cabral disse que a propina de empresas de transportes no Rio começou a ser paga no governo Moreira Franco e passou pelas gestões de Leonel Brizola e Anthony Garotinho...<br><br></p>",https://www.oantagonista.com/brasil/cabral-diz-que-propina-dos-onibus-comecou-com-moreira-franco/
"Governo precisa angariar apoio popular à Previdência, diz Maia",Nao possui,Nao possui,05/04/2019 14:58:21,Brasil,"<p>Rodrigo Maia discursou no evento do Lide, de João Doria, em Campos do Jordão e disse que o governo de Jair Bolsonaro precisa angariar apoio popular à reforma da Previdência...</p>",https://www.oantagonista.com/brasil/governo-precisa-angariar-apoio-popular-a-previdencia-diz-maia/
“Nunca tomei conhecimento das suas obscenas tucanadas e clintonadas”,Nao possui,Nao possui,05/04/2019 14:34:37,Brasil,"<p>Olavo de Carvalho, assim como Jair Bolsonaro, também encerrou o casamento com Vélez Rodríguez, que ele levou para o altar ministerial...</p>",https://www.oantagonista.com/brasil/nunca-tomei-conhecimento-das-suas-obscenas-tucanadas-e-clintonadas/
“Tem que ser um pouco louco para se sentar ali”,Nao possui,Nao possui,05/04/2019 14:22:46,Brasil,"<p>Durante o encontro com Jair Bolsonaro no Palácio do Planalto, um jornalista perguntou a Sergio Moro se ele se via na cadeira presidencial daqui a algum tempo...</p>",https://www.oantagonista.com/brasil/tem-que-ser-um-pouco-louco-para-se-sentar-ali/
"“A PGR será devolvida ao povo brasileiro, através da escolha do Presidente da República”",Nao possui,Nao possui,05/04/2019 14:21:44,Brasil,"<p>Como publicamos, o advogado-geral da União, André Mendonça, afirmou que qualquer membro do Ministério Público da União está apto a ser nomeado PGR pelo Presidente da República, desde que obedeça aos requisitos legais, independentemente de constar ou não da lista tríplice elaborada pelos procuradores federais.<br><br>O desembargador Fábio Prieto, do TRF3 aplaude a posição do AGU...</p>",https://www.oantagonista.com/brasil/a-pgr-sera-devolvida-ao-povo-brasileiro-atraves-da-escolha-do-presidente-da-republica/
"Chega de entrevistas, Bolsonaro",Nao possui,Nao possui,05/04/2019 14:19:26,Brasil,"<p>A extrema-imprensa é um terror.<br><br>No penúltimo encontro com jornalistas no Palácio do Planalto, Jair Bolsonaro derrubou a reforma do BPC e da aposentadoria rural...</p>",https://www.oantagonista.com/brasil/chega-de-entrevistas-bolsonaro/
Bolsa de apostas no MEC,Nao possui,Nao possui,05/04/2019 14:08:34,Brasil,"<p>Eduardo Melo, que foi demitido por Ricardo Velez, pode voltar para comandar o MEC no lugar do ministro demissionário...</p>",https://www.oantagonista.com/brasil/bolsa-de-apostas-no-mec/
"Vélez, a unanimidade bolsonarista",Nao possui,Nao possui,05/04/2019 14:05:17,Brasil,"<p>Sim, os militares querem mesmo a cabeça de Ricardo Vélez, como publicam os jornais, porque acham também que a defesa que ele fez de 1964 foi oportunista e causou um desgaste ainda maior para as Forças Armadas.<br><br>Pelo jeito, Vélez é uma unanimidade entre os bolsonaristas das várias tendências.<br><br></p>",https://www.oantagonista.com/brasil/velez-a-unanimidade-bolsonarista/
Ninguém mais quer cargos,Nao possui,Nao possui,05/04/2019 14:00:49,Brasil,"<p>Nas conversas com Jair Bolsonaro, os caciques partidários nem tocam mais no assunto ""cargos""...</p>",https://www.oantagonista.com/brasil/ninguem-mais-quer-cargos/
“Não existe olavetes contra militares”,Nao possui,Nao possui,05/04/2019 13:59:43,Brasil,"<p>No café da manhã com jornalistas, Jair Bolsonaro negou disputa entre os militares e os discípulos de Olavo de Carvalho...</p>",https://www.oantagonista.com/brasil/nao-existe-olavetes-contra-militares/
Mourão na América,Nao possui,Nao possui,05/04/2019 13:38:02,Brasil,"<p>Hamilton Mourão desembarca hoje em Boston, onde inicia amanhã uma série de encontros com acadêmicos e empresários.<br><br>O primeiro é com o professor de Harvard Roberto Mangabeira Unger...<br><br></p>",https://www.oantagonista.com/brasil/mourao-na-america/
A lista dos jornalistas recebidos por Bolsonaro,Nao possui,Nao possui,05/04/2019 13:34:33,Brasil,"<p>Eis os jornalistas que Jair Bolsonaro recebeu hoje, para um café:<br><br>- Sérgio D'Ávila - Folha de S Paulo<br>- João Fábio Caminoto - Estado de S Paulo<br>- Alan Gripp - O Globo<br>- Paulo Celso - O Globo<br>- Vera Brandimarte - Valor Econômico...</p>",https://www.oantagonista.com/brasil/a-lista-dos-jornalistas-recebidos-por-bolsonaro/
DEM não adere ao governo,Nao possui,Nao possui,05/04/2019 13:32:09,Brasil,"<p>Embora tenha feito um discurso público otimista após reunião com o presidente Jair Bolsonaro, o presidente nacional do DEM, ACM Neto, afirmou a aliados que não está em cogitação, por ora, uma adesão formal do partido à base aliada do governo, diz a <strong>Crusoé</strong>...</p>",https://www.oantagonista.com/brasil/dem-nao-adere-ao-governo/
“Sem o PP não tem reforma”,Nao possui,Nao possui,05/04/2019 13:28:41,Brasil,"<p>A <strong>Crusoé</strong> conta que, alguns dias atrás, em conversa reservada, Rodrigo Maia disse:<br><br>“Sem o PP não tem reforma”...</p>",https://www.oantagonista.com/brasil/sem-o-pp-nao-tem-reforma/
“Sem o PP não tem reforma”,Nao possui,Nao possui,05/04/2019 13:28:41,Brasil,"<p>A <strong>Crusoé</strong> conta que, alguns dias atrás, em conversa reservada, Rodrigo Maia disse:<br><br>“Sem o PP não tem reforma”...</p>",https://www.oantagonista.com/brasil/sem-o-pp-nao-tem-reforma/
Google se rende à ditadura do politicamente correto,Nao possui,Nao possui,05/04/2019 13:27:36,Sociedade,<p>Durou uma semana o comitê de ética criado pelo Google para fiscalizar o desenvolvimento na área de inteligência artificial...</p>,https://www.oantagonista.com/sociedade/google-se-rende-a-ditadura-do-politicamente-correto/
Operador de Dario Messer consegue prisão domiciliar no Paraguai,Nao possui,Nao possui,05/04/2019 13:27:05,Brasil,"<p>Ilan Grinspun, administrador das empresas do megadoleiro Dario Messer, vai para o regime de prisão domiciliar no Paraguai...</p>",https://www.oantagonista.com/brasil/operador-de-dario-messer-consegue-prisao-domiciliar-no-paraguai/
"Bolsonaro: “No meu Twitter, é responsabilidade minha”",Nao possui,Nao possui,05/04/2019 12:57:27,Brasil,"<p>Em café da manhã com jornalistas, Jair Bolsonaro disse hoje que quem tem a senha das suas redes sociais tem sua confiança...</p>",https://www.oantagonista.com/brasil/bolsonaro-no-meu-twitter-e-responsabilidade-minha/
Paulo Guedes volta a desmascarar o Sistema S,Nao possui,Nao possui,05/04/2019 12:49:49,Brasil,"<p>Em discurso no evento do Lide, em Campos do Jordão, o ministro Paulo Guedes voltou a desmascarar o Sistema S...</p>",https://www.oantagonista.com/brasil/paulo-guedes-volta-a-desmascarar-o-sistema-s/
"“Meu sentimento é que o governo ainda não começou”, diz Covas",Nao possui,Nao possui,05/04/2019 12:43:54,Brasil,"<p>Em entrevista à CBN, o prefeito de São Paulo, Bruno Covas, disse ter o sentimento de que o governo de Jair Bolsonaro ainda não começou...</p>",https://www.oantagonista.com/brasil/meu-sentimento-e-que-o-governo-ainda-nao-comecou-diz-covas/
Zanin diz que Lula ficou calado,Nao possui,Nao possui,05/04/2019 12:35:26,Brasil,<p>Lula não falou hoje no <strong>depoimento marcado pela PF</strong> e que durou cerca de duas horas...</p>,https://www.oantagonista.com/brasil/zanin-diz-que-lula-ficou-calado/
O papel do general Heleno,Nao possui,Nao possui,05/04/2019 12:23:07,Brasil,"<p>Em cerimônia do Palácio do Planalto, Jair Bolsonaro disse há pouco que o general Augusto Heleno é um de seus principais conselheiros...</p>",https://www.oantagonista.com/brasil/o-papel-do-general-heleno/
Golden shower na cama,Nao possui,Nao possui,05/04/2019 12:19:51,Brasil,"<p>Jair Bolsonaro disse para os jornalistas no Palácio do Planalto:<br><br>""Eu fazia xixi na cama até os cinco anos. Vou ter de me arrepender disso também?""<br><br></p>",https://www.oantagonista.com/brasil/golden-shower-na-cama/
Lula presta depoimento,Nao possui,Nao possui,05/04/2019 12:15:08,Brasil,"<p>Na manhã de hoje, por cerca de duas horas, Lula prestou depoimento para a PF em razão de dois inquéritos...</p>",https://www.oantagonista.com/brasil/lula-presta-depoimento/
“É a política que vai decidir no Congresso”,Nao possui,Nao possui,05/04/2019 12:09:26,Brasil,"<p>Davi Alcolumbre, presidente do Senado, mandou um recado para Jair Bolsonaro no evento do Lide, em Campos do Jordão...</p>",https://www.oantagonista.com/brasil/e-a-politica-que-vai-decidir-no-congresso/
"Para André Mendonça, qualquer procurador pode assumir a PGR",Nao possui,Nao possui,05/04/2019 12:05:10,Brasil,"<p>O advogado-geral da União, André Mendonça, considera que qualquer membro dos quatro ramos do Ministério Público da União, desde que tenha mais de 35 anos, está apto ao cargo de procurador-geral da República...</p>",https://www.oantagonista.com/brasil/para-andre-mendonca-qualquer-procurador-pode-assumir-a-pgr/
"Para André Mendonça, qualquer procurador pode assumir a PGR",Nao possui,Nao possui,05/04/2019 12:05:10,Brasil,"<p>O advogado-geral da União, André Mendonça, considera que qualquer membro dos quatro ramos do Ministério Público da União, desde que tenha mais de 35 anos, está apto ao cargo de procurador-geral da República...</p>",https://www.oantagonista.com/brasil/para-andre-mendonca-qualquer-procurador-pode-assumir-a-pgr/
“Pergunta a quem de direito”,Nao possui,Nao possui,05/04/2019 11:59:50,Brasil,"<p>Quando questionado por jornalistas sobre sua possível demissão, o ministro Ricardo Vélez também respondeu...</p>",https://www.oantagonista.com/brasil/pergunta-a-quem-de-direito/
Operação abafa no Senado,Nao possui,Nao possui,05/04/2019 11:50:08,Brasil,"<p>A nova edição da <strong>Crusoé</strong> revela os bastidores da articulação para varrer para debaixo do tapete a fraude na eleição para a presidência do Senado.<br><br>A reportagem está imperdível...<br><br><img class=""alignleft size-medium wp-image-182131"" src=""https://cdn.oantagonista.net/uploads/2019/04/abafa-275x353.jpg"" alt="""" width=""275"" height=""353""></p>",https://www.oantagonista.com/brasil/operacao-abafa-no-senado/
Novo vai cavando espaço,Nao possui,Nao possui,05/04/2019 11:39:11,Brasil,"<p>Por pouco, a relatoria da reforma da Previdência na CCJ da Câmara não ficou com o Novo.<br><br>Agora, o deputado do partido Vinicius Poit é cotado para relatar a proposta na comissão especial, a próxima etapa da tramitação.</p>",https://www.oantagonista.com/brasil/novo-vai-cavando-espaco/
O poste na estrada,Nao possui,Nao possui,05/04/2019 11:29:50,Brasil,"<p>Fernando Haddad vai voltar a rodar o país gritando ""Lula livre"" e atacando Jair Bolsonaro...</p>",https://www.oantagonista.com/brasil/o-poste-na-estrada/
AGU quer desistir de metade dos recursos no STJ contra concessão de aposentadorias,Nao possui,Nao possui,05/04/2019 11:28:37,Economia,<p>A Advocacia-Geral da União pretende desistir de até 50% dos recursos apresentados em favor do INSS no Superior Tribunal de Justiça que questionam a concessão de aposentadorias...</p>,https://www.oantagonista.com/economia/agu-quer-desistir-de-metade-dos-recursos-no-stj-contra-concessao-de-aposentadorias/
"“Se o pacote anticrime for aprovado, pode dar adeus para a sua família”",Nao possui,Nao possui,05/04/2019 11:06:40,Brasil,"<p>O senador Marcos do Val, que vai relatar a parte do pacote anticrime de Sergio Moro que trata de mudanças no Código Penal, voltou a ser ameaçado...</p>",https://www.oantagonista.com/brasil/se-o-pacote-anticrime-for-aprovado-pode-dar-adeus-para-a-sua-familia/
Gilmar leva Brasília a Lisboa,Nao possui,Nao possui,05/04/2019 11:01:09,Brasil,"<p>Entre os dias 22 e 24 de abril, após a Páscoa, o IDP de Gilmar Mendes vai realizar um fórum jurídico em Lisboa...</p>",https://www.oantagonista.com/brasil/gilmar-leva-brasilia-a-lisboa/
“O Brasil virou o país da cabeça socialista”,Nao possui,Nao possui,05/04/2019 10:57:10,Brasil,"<p>No encontro do Lide, em Campos do Jordão, o ministro do Meio Ambiente, Ricardo Salles, comentou o seguinte ao dizer que o governo de Jair Bolsonaro tenta ""trazer à tona a racionalidade""...</p>",https://www.oantagonista.com/brasil/o-brasil-virou-o-pais-da-cabeca-socialista/
“Está quase certo”,Nao possui,Nao possui,05/04/2019 10:54:24,Brasil,"<p>Jair Bolsonaro disse, no café da manhã com jornalistas, que ""está quase certo"" que o horário de verão vai acabar.</p>",https://www.oantagonista.com/brasil/esta-quase-certo/
Bolsonaro confirma troca de comando na Secom,Nao possui,Nao possui,05/04/2019 10:49:56,Brasil,"<p>Jair Bolsonaro, no café da manhã com jornalistas, confirmou que o publicitário Fábio Wajngarten vai assumir o comando da Secretaria de Comunicação na próxima segunda-feira...</p>",https://www.oantagonista.com/brasil/bolsonaro-confirma-troca-de-comando-na-secom/
Vélez diz que não vai entregar o cargo,Nao possui,Nao possui,05/04/2019 10:46:12,Brasil,<p>Ricardo Vélez está no encontro do Lide em Campos do Jordão...</p>,https://www.oantagonista.com/brasil/velez-diz-que-nao-vai-entregar-o-cargo/
Vélez diz que não vai entregar o cargo,Nao possui,Nao possui,05/04/2019 10:46:12,Brasil,<p>Ricardo Vélez está no encontro do Lide em Campos do Jordão...</p>,https://www.oantagonista.com/brasil/velez-diz-que-nao-vai-entregar-o-cargo/
Bolsonaro sobre encontro com dirigentes partidários: “Não foi falada a palavra cargo”,Nao possui,Nao possui,05/04/2019 10:43:56,Brasil,"<p>Jair Bolsonaro também disse no café da manhã com jornalistas que os dirigentes partidários estão entendendo a nova articulação política.<br><br>""Não foi falada a palavra cargo ontem.""</p>",https://www.oantagonista.com/brasil/bolsonaro-sobre-encontro-com-dirigentes-partidarios-nao-foi-falada-a-palavra-cargo/
Bolsonaro sobre a reforma: “Uma coisa ou outra vai desidratar”,Nao possui,Nao possui,05/04/2019 10:41:14,Brasil,"<p>No café da manhã com jornalistas, Jair Bolsonaro disse que ""o mais importante"" da reforma da Previdência enviada ao Congresso são o teto e o tempo de contribuição...</p>",https://www.oantagonista.com/brasil/bolsonaro-sobre-a-reforma-uma-coisa-ou-outra-vai-desidratar/
Gleisi no púlpito,Nao possui,Nao possui,05/04/2019 10:38:04,Brasil,<p>O PT tenta fazer as pazes com os evangélicos...</p>,https://www.oantagonista.com/brasil/gleisi-no-pulpito/
“Um ministro sendo desrespeitado e reagindo”,Nao possui,Nao possui,05/04/2019 10:29:23,Brasil,"<p>No encontro do Lide em Campos do Jordão, Rodrigo Maia comentou a atuação de Paulo Guedes na CCJ da Câmara na última quarta-feira...</p>",https://www.oantagonista.com/brasil/um-ministro-sendo-desrespeitado-e-reagindo/
“Ele disse que errou”,Nao possui,Nao possui,05/04/2019 10:24:24,Brasil,<p>Paulo Guedes vai tentar se controlar mais nos próximos embates com parlamentares.<br><br>O senador Jorge Kajuru disse ao Estadão depois de se reunir com o ministro...</p>,https://www.oantagonista.com/brasil/ele-disse-que-errou/
Bolsonaro encerra noivado com Vélez,Nao possui,Nao possui,05/04/2019 10:16:05,Brasil,"<p>O noivado de Jair Bolsonaro com Vélez Rodríguez acabou.<br><br>O presidente disse hoje para jornalistas reunidos no Palácio do Planalto:<br><br>""Está bastante claro que não está dando certo o ministro Vélez...</p>",https://www.oantagonista.com/brasil/bolsonaro-encerra-casamento-com-velez/
A fuga para o Paraguai,Nao possui,Nao possui,05/04/2019 10:13:42,Economia,"<p>No evento do Lide de João Doria, em Campos do Jordão, empresários comentam nos bastidores que ""está muito melhor para investir no Paraguai""...</p>",https://www.oantagonista.com/economia/fuga-para-o-paraguai/
"Kajuru: “Se eu visse Gilmar, sairia voando”",Nao possui,Nao possui,05/04/2019 10:11:35,Brasil,<p>Jorge Kajuru foi perguntado pela Veja se o governo atuou contra a CPI da Lava Toga...</p>,https://www.oantagonista.com/brasil/kajuru-se-eu-visse-gilmar-sairia-voando/
"Reforma, reforma e reforma",Nao possui,Nao possui,05/04/2019 10:06:23,Economia,"<p>No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.<br><br>Nos bastidores, empresários temem o tamanho da desidratação da proposta pelo Congresso...</p>",https://www.oantagonista.com/economia/reforma-reforma-e-reforma/
Relator do pacote anticrime no Senado quer aprovar até maio prisão em 2ª instância,Nao possui,Nao possui,05/04/2019 10:00:27,Brasil,"<p>Relator do maior parte do pacote anticrime no Senado, Marcos do Val (PPS-ES) disse a <strong>O Antagonista</strong> que planeja aprovar até maio a prisão em segunda instância, da qual disse não abrir mão...</p>",https://www.oantagonista.com/brasil/relator-pacote-anticrime-no-senado-quer-aprovar-ate-maio-prisao-em-2a-instancia/
Quem pode soltar Lula?,Nao possui,Nao possui,05/04/2019 09:53:27,Brasil,<p>Quem pode soltar Lula?<br><br>A <strong>Crusoé</strong> conta que a rádio-corredor dos ministros do STJ registra que é grande a pressão sobre os ombros do ministro Reynaldo Soares da Fonseca...</p>,https://www.oantagonista.com/brasil/quem-pode-soltar-lula/
Quem pode soltar Lula?,Nao possui,Nao possui,05/04/2019 09:53:27,Brasil,<p>Quem pode soltar Lula?<br><br>A <strong>Crusoé</strong> conta que a rádio-corredor dos ministros do STJ registra que é grande a pressão sobre os ombros do ministro Reynaldo Soares da Fonseca...</p>,https://www.oantagonista.com/brasil/quem-pode-soltar-lula/
Salário mínimo sem aumento real,Nao possui,Nao possui,05/04/2019 09:45:44,Economia,"<p>Jair Bolsonaro quer que o salário mínimo seja corrigido apenas pela inflação, sem aumento real...</p>",https://www.oantagonista.com/economia/salario-minimo-sem-aumento-real-2/
Exército robotizado,Nao possui,Nao possui,05/04/2019 09:39:07,Brasil,"<p>Um levantamento da NetLab, feito a pedido da Veja, concluiu que, “dos vinte campeões de postagens pró-Bolsonaro no Twitter, seis eram claramente robôs...</p>",https://www.oantagonista.com/brasil/exercito-robotizado/
Qual o crime de Magno Malta?,Nao possui,Nao possui,05/04/2019 09:30:12,Brasil,<p>Uma liderança do PR até hoje se pergunta sobre por que Magno Malta não conseguiu nada no governo...</p>,https://www.oantagonista.com/brasil/qual-o-crime-de-magno-malta/
“Estou preparado para governar o nosso país”,Nao possui,Nao possui,05/04/2019 09:18:32,Brasil,"<p>O governador do Rio de Janeiro, Wilson Witzel, anunciou mais uma vez que pretende se candidatar ao Palácio do Planalto...</p>",https://www.oantagonista.com/brasil/estou-preparado-para-governar-o-nosso-pais/
Os telefonemas de Toffoli e Gilmar,Nao possui,Nao possui,05/04/2019 09:08:24,Brasil,"<p>Alessandro Vieira, em entrevista à <strong>Crusoé</strong>, contou que todos os senadores receberam telefonemas para enterrar a CPI da Lava Toga.<br><br>De quem?<br><br>“Do Toffoli, do Gilmar...<br><br><img class=""alignnone size-medium wp-image-182063"" src=""https://cdn.oantagonista.net/uploads/2019/04/Schermata-2019-04-05-alle-12.44.29-275x353.png"" alt="""" width=""275"" height=""353""></p>",https://www.oantagonista.com/brasil/os-telefonemas-de-toffoli-e-gilmar/
Os telefonemas de Toffoli e Gilmar,Nao possui,Nao possui,05/04/2019 09:08:24,Brasil,"<p>Alessandro Vieira, em entrevista à <strong>Crusoé</strong>, contou que todos os senadores receberam telefonemas para enterrar a CPI da Lava Toga.<br><br>De quem?<br><br>“Do Toffoli, do Gilmar...<br><br><img class=""alignnone size-medium wp-image-182063"" src=""https://cdn.oantagonista.net/uploads/2019/04/Schermata-2019-04-05-alle-12.44.29-275x353.png"" alt="""" width=""275"" height=""353""></p>",https://www.oantagonista.com/brasil/os-telefonemas-de-toffoli-e-gilmar/
O Aprendiz,Nao possui,Nao possui,05/04/2019 08:55:36,Brasil,"<p>João Doria disse para o Valor que o PSDB não será mais um ""depósito de derrotados"" nem de ""desempregados""...</p>",https://www.oantagonista.com/brasil/o-aprendiz-3/
TV Olavete,Nao possui,Nao possui,05/04/2019 08:44:10,Brasil,<p>Os olavetes demitidos do MEC arrumaram uma boquinha na TV Escola...</p>,https://www.oantagonista.com/brasil/tv-olavete/
A farra do boi,Nao possui,Nao possui,05/04/2019 08:33:04,Brasil,"<p>A PF grampeou Joesley Batista no dia do triunfo eleitoral de Dilma Rousseff, em 2014.<br><br>A <strong>Crusoé</strong> obteve esses grampos inéditos.<br><br>Joesley Batista e Ricardo Saud comemoram o resultado com Michel Temer, Fernando Pimentel, Eduardo Cunha, Henrique Meirelles e com o assessor de Edinho Silva...<br><br><img class=""alignnone size-medium wp-image-182055"" src=""https://cdn.oantagonista.net/uploads/2019/04/Schermata-2019-04-05-alle-13.29.46-273x353.png"" alt="""" width=""273"" height=""353""></p>",https://www.oantagonista.com/brasil/a-farra-do-boi/
O primeiro demitido por Vélez,Nao possui,Nao possui,05/04/2019 08:30:07,Brasil,"<p>A primeira demissão no MEC ocorreu antes mesmo de o ano virar e o novo governo assumir.<br><br>Depois de participar de toda a transição, o cientista político Antônio Flávio Testa, que havia sido indicado para ser o número 2 da pasta...</p>",https://www.oantagonista.com/brasil/o-primeiro-demitido-por-velez/
Parlamentarismo tchuchuca,Nao possui,Nao possui,05/04/2019 08:19:19,Brasil,"<p>""Nas últimas semanas"", diz Raquel Landim, ""cresceram as articulações diretas dos grandes empresários junto aos principais líderes no Congresso, com destaque para Rodrigo Maia, para instituir um parlamentarismo informal...</p>",https://www.oantagonista.com/brasil/parlamentarismo-tchuchuca/
Os banqueiros do PT,Nao possui,Nao possui,05/04/2019 08:14:00,Brasil,"<p>A Lava Jato vem tentando ouvir Lula na investigação que mira a relação de banqueiros com o PT, diz a <strong>Crusoé</strong>...</p>",https://www.oantagonista.com/brasil/os-banqueiros-pt/
O novo líder,Nao possui,Nao possui,05/04/2019 08:05:48,Brasil,"<p>O PRB tem grandes chances de assumir a liderança do governo na Câmara, diz a <strong>Crusoé</strong>...</p>",https://www.oantagonista.com/brasil/o-novo-lider-2/
